,child_mortality,disabled_total_by_age,poverty_percent_by_regions,welfare_expense_share,cash_real_income_wages,Number of children,Pensioners,Working-age population,feel uncomfortable while living,size of living space,population,gross_regional_product,regional_production,retail_turnover_per_capita,newborn_monthly,crimes,morbidity_age_disease,drug+alco,cluster
Костромская область,48.0,725327.0,13.199999999999998,19.23333333333333,23997.833333333332,42.4,5.425000000000001,52.15,15.6,14.5,644662.1666666666,287872.39999999997,281825875.87666667,156000.33333333334,6716.494999999999,757.8000000000001,373492.7,81.325,3
Удмуртская Республика,86.83333333333333,1256433.75,12.233333333333334,19.2,24368.833333333332,42.975,6.2749999999999995,50.775000000000006,13.3,14.8,1512141.8333333333,414897.14999999997,1011111448.8933334,149674.0,17793.333333333332,1480.0,434158.3,79.64999999999999,3
Воронежская область,100.66666666666667,2604589.25,9.033333333333333,19.150000000000002,30422.833333333332,36.225,5.4,58.400000000000006,11.4,19.9,2330971.0,395526.2666666666,976879236.2983333,228334.16666666666,22245.161666666667,1637.0,251153.44999999998,111.89999999999999,3
Республика Башкортостан,310.6666666666667,3059570.5,12.25,18.833333333333332,28903.333333333332,40.1,5.5,54.425,17.9,17.4,4060412.0,390023.9833333334,2604460357.8149996,211802.16666666666,49069.81833333333,2531.0,357745.0,72.675,2
Тюменская область,98.16666666666667,1124915.0,13.674999999999999,18.71666666666667,28856.5,46.575,4.425000000000001,49.0,15.7,18.1,1486108.5,744543.5,14323419251.62,246311.33333333334,21280.331666666665,1381.9999999999998,285882.3,75.2,1
Московская область,356.5,5058949.25,7.566666666666666,18.433333333333334,43506.333333333336,45.05,7.6499999999999995,47.275,17.3,14.8,7461180.0,592078.5166666667,5011042730.245,295481.8333333333,86027.48333333332,4227.4,335819.35,59.025000000000006,2
Республика Мордовия,28.166666666666668,837085.0,18.316666666666666,18.366666666666664,18784.166666666668,31.724999999999998,8.65,59.7,9.6,20.0,802606.5,295683.3833333333,338609814.0133333,111931.16666666667,6811.491666666666,525.0,350310.2,79.975,3
Калужская область,59.833333333333336,925322.0,10.233333333333334,17.383333333333336,29652.333333333332,36.125,12.575,51.275000000000006,16.8,15.5,1009823.1666666666,465697.81666666665,1310589043.7,191025.33333333334,10727.666666666666,1162.3999999999999,347495.8,74.55000000000001,0
Республика Алтай,33.166666666666664,262885.5,24.650000000000002,17.26666666666667,19304.166666666668,45.375,3.9,50.699999999999996,9.3,14.4,217163.5,239721.41666666666,16015908.199999997,117538.5,3443.8333333333335,328.40000000000003,334565.1,77.4,0
г. Москва,710.1666666666666,12333400.0,7.316666666666666,16.98333333333333,68295.0,39.65,9.774999999999999,50.625,18.9,13.8,12451368.666666666,1378933.7333333332,14569230186.74,375926.1666666667,135730.285,5003.4,334608.55,36.8,2
Ленинградская область,62.166666666666664,1662631.0,9.15,16.116666666666667,30088.166666666668,12.625,5.85,31.549999999999997,15.7,17.0,1813978.0,585691.5166666667,1967330076.3316667,214254.66666666666,14699.666666666666,1203.8,329138.75,47.575,2
