,child_mortality,disabled_total_by_age,morbidity_age_disease_17,morbidity_age_disease_18,poverty_percent_by_regions,welfare_expense_share,cash_real_income_wages,Number of children,Pensioners,Working-age population,do not feel constrained when living,feel uncomfortable while living,experience great discomfort while living,did not answer,total area size,size of living space,number of rooms,population,gross_regional_product,regional_production,retail_turnover_per_capita,minors,group of people,criminal community,drug,alco,newborn_monthly
Республика Марий Эл,44.333333333333336,756954.75,328651.05,72457.9,21.0,20.716666666666665,19778.333333333332,35.425,4.95,59.65,81.0,13.2,5.8,0.0,24.1,16.5,2.4,683352.3333333334,272314.7166666667,278503509.135,123550.5,226.6,281.4,6.0,2.975,82.175,8069.161666666667
Республика Мордовия,28.166666666666668,837085.0,303176.4,47133.8,18.316666666666666,18.366666666666664,18784.166666666668,31.724999999999998,8.65,59.7,86.3,9.6,3.8,0.3,26.2,20.0,2.7,802606.5,295683.3833333333,338609814.0133333,111931.16666666667,168.0,347.8,9.2,5.499999999999999,74.475,6811.491666666666
Республика Татарстан (Татарстан),246.33333333333334,3410310.75,298519.4,58429.950000000004,7.050000000000001,12.049999999999999,33778.333333333336,41.0,8.525,50.474999999999994,79.2,17.4,3.4,0.0,23.7,16.2,2.5,3884136.6666666665,610343.8666666666,4198786408.4716663,223770.33333333334,907.8,1709.2,43.0,9.75,54.050000000000004,48609.319999999985
Удмуртская Республика,86.83333333333333,1256433.75,361937.35,72220.95000000001,12.233333333333334,19.2,24368.833333333332,42.975,6.2749999999999995,50.775000000000006,83.3,13.3,3.4,0.0,20.8,14.8,2.4,1512141.8333333333,414897.14999999997,1011111448.8933334,149674.0,605.0,854.0,21.0,5.95,73.69999999999999,17793.333333333332
Чувашская Республика — Чувашия,45.666666666666664,941871.75,333960.95,72270.25,17.85,22.516666666666666,18919.666666666668,32.9,5.699999999999999,61.425,72.0,20.0,8.0,0.0,20.7,14.2,2.3,1230482.0,249550.5166666667,377054094.02833337,123178.33333333333,387.6,647.8,134.4,1.575,88.57499999999999,13919.831666666667
Пермский край,164.33333333333334,2464520.0,360818.2,65796.55,14.200000000000001,21.516666666666666,29534.333333333332,40.525,5.175,54.275000000000006,84.6,12.3,3.1,0.0,22.7,16.0,2.4,2622786.6666666665,495504.4166666667,2497801431.313333,198659.66666666666,1347.0,1854.6,30.6,10.149999999999999,113.55,31645.65166666666
Кировская область,57.166666666666664,1485745.5,311945.94999999995,53908.55,15.066666666666665,23.416666666666668,22453.333333333332,38.075,5.05,56.825,85.7,11.1,3.2,0.0,22.9,14.9,2.2,1285209.1666666667,266767.61666666664,451609995.74499995,148682.16666666666,562.6,703.6,28.4,3.85,59.975,13528.331666666665
Нижегородская область,195.83333333333334,3486014.5,379772.15,62994.05,9.683333333333334,21.250000000000004,31542.666666666668,35.6,7.5,56.925,80.8,16.5,2.7,0.0,24.0,17.5,2.3,3238417.3333333335,438238.33333333343,2429521341.376667,219424.0,836.0,1901.6,8.8,9.899999999999999,57.449999999999996,33613.316666666666
Оренбургская область,136.66666666666666,2295485.0,310259.4,56421.9,14.216666666666667,25.0,23430.833333333332,42.849999999999994,5.25,51.875,80.2,16.3,3.3,0.2,25.9,19.0,2.8,1980503.8333333333,479661.93333333335,1441644462.3033333,153075.33333333334,675.4,1722.2,60.0,4.5,105.07499999999999,23096.825
Пензенская область,56.166666666666664,1158136.75,313433.44999999995,54485.4,13.916666666666666,20.983333333333334,22056.0,37.3,9.5,53.25,82.9,12.7,3.9,0.4,23.4,16.9,2.5,1333528.0,305655.0833333333,401093429.6783333,153903.5,229.2,551.2,10.8,8.625,121.25000000000001,11940.998333333331
Самарская область,166.66666666666666,2560659.75,378930.25,71255.5,12.966666666666669,22.150000000000002,28243.0,39.625,5.875,54.49999999999999,79.6,16.7,3.7,0.0,24.6,16.9,2.4,3196402.3333333335,469756.8833333333,2524806119.09,199199.5,829.8,1794.6,74.2,15.650000000000002,52.75,34423.325000000004
